*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=speeduino pro NA8 64-pin
*Date=10:07:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;sj_2s;73.6311;-46.2113;0;Bottom;SJ1
2;;;43.434;-61.834;0;Bottom;Copper Fill482
3;;;21.717;-103.401;0;Bottom;Copper Fill291
4;;;45.1612;-40.1678;0;Bottom;Copper Fill511
5;;0805 [SMD];24.5129;-29.3107;-90;Top;LED6
6;;;67.6529;-71.486;0;Bottom;Copper Fill322
7;;;94.996;-64.628;0;Bottom;Copper Fill106
8;;;68.328;-42.4007;0;Bottom;Via128
9;;THT;40.388;-74.7857;0;Bottom;J23
10;;;94.996;-82.408;0;Bottom;Copper Fill391
11;;THT;32.768;-87.4857;0;Bottom;J82
12;;;73.6681;-34.7458;0;Bottom;Via91
13;;;92.3925;-34.3258;0;Bottom;Copper Fill660
14;;;56.2229;-36.307;0;Bottom;Copper Fill213
15;;;34.036;-78.598;0;Bottom;Copper Fill412
16;;;56.7182;-52.5376;0;Bottom;Copper Fill112
17;;;83.5025;-91.9076;0;Bottom;Copper Fill262
18;;;63.627;-90.0915;0;Bottom;Copper Fill221
19;;;56.896;-81.138;0;Bottom;Copper Fill56
20;;;57.5329;-65.8958;0;Bottom;Via113
21;;;43.307;-34.8211;0;Bottom;Copper Fill277
22;;;44.196;-81.138;0;Bottom;Copper Fill400
23;;;94.996;-72.248;0;Bottom;Copper Fill457
24;;;77.978;-71.6511;0;Bottom;Copper Fill197
25;;THT;45.468;-77.3257;0;Bottom;J36
26;;;94.996;-82.408;0;Bottom;Copper Fill43
27;;;19.177;-52.6011;0;Bottom;Copper Fill175
28;;;90.0684;-101.471;0;Bottom;Copper Fill228
29;;;45.212;-66.5711;0;Bottom;Copper Fill566
30;100k;0805 [SMD];60.7079;-95.3508;90;Top;R43
31;;;41.656;-81.138;0;Bottom;Copper Fill399
32;;;39.116;-83.678;0;Bottom;Copper Fill34
33;;;34.0379;-39.2258;0;Bottom;Via32
34;;;67.6529;-61.707;0;Bottom;Copper Fill318
35;;;51.6382;-51.9026;0;Bottom;Copper Fill114
36;;0805 [SMD];48.398;-106.536;0;Top;LED3
37;;;95.377;-107.211;0;Bottom;Copper Fill257
38;;;94.996;-97.648;0;Bottom;Copper Fill4
39;;;47.3329;-92.822;0;Bottom;Copper Fill664
40;;;82.6679;-35.7458;0;Bottom;Via76
41;;;51.816;-49.8198;0;Bottom;Copper Fill124
42;;;54.356;-83.678;0;Bottom;Copper Fill388
43;;;18.7979;-107.171;0;Bottom;Via67
44;;;54.356;-86.218;0;Bottom;Copper Fill373
45;;;64.4525;-41.6156;0;Bottom;Copper Fill631
46;;THT;40.388;-87.4857;0;Bottom;J85
47;;;20.6629;-38.466;0;Bottom;Copper Fill236
48;;;72.136;-102.169;0;Bottom;Copper Fill1
49;;THT;60.708;-87.4857;0;Bottom;J74
50;;;23.368;-18.3111;0;Bottom;Copper Fill326
51;;;63.1825;-93.6856;0;Bottom;Copper Fill282
52;;;44.8329;-66.5308;0;Bottom;Via60
53;;;46.736;-73.518;0;Bottom;Copper Fill451
54;;;51.816;-78.598;0;Bottom;Copper Fill419
55;;;56.896;-73.518;0;Bottom;Copper Fill100
56;;;20.9804;-74.1022;0;Bottom;Copper Fill425
57;;;65.1764;-47.1274;0;Bottom;Copper Fill135
58;;;90.6272;-38.593;0;Bottom;Copper Fill525
59;;0805 [SMD];20.7029;-29.3107;-90;Top;LED5
60;;;46.6725;-59.3956;0;Bottom;Copper Fill205
61;;;13.0429;-49.896;0;Bottom;Copper Fill234
62;;;31.496;-49.8198;0;Bottom;Copper Fill118
63;;;38.4429;-26.147;0;Bottom;Copper Fill192
64;;;46.736;-71.2066;0;Bottom;Copper Fill469
65;;;29.972;-65.3011;0;Bottom;Copper Fill145
66;22µF;0405 [SMD, electrolytic];68.328;-36.7908;-90;Top;C24
67;;THT;76.583;-89.3907;90;Bottom;12v
68;;;54.356;-49.8198;0;Bottom;Copper Fill125
69;;;80.3929;-31.6058;0;Bottom;Via93
70;;;73.408;-42.4007;0;Bottom;Via73
71;;;94.996;-59.548;0;Bottom;Copper Fill487
72;;;63.1825;-90.536;0;Bottom;Copper Fill218
73;;;44.196;-71.2066;0;Bottom;Copper Fill468
74;;THT;37.848;-72.2457;0;Bottom;J15
75;;;57.0484;-47.7624;0;Bottom;Copper Fill513
76;;;34.036;-86.218;0;Bottom;Copper Fill18
77;;;67.6529;-62.596;0;Bottom;Copper Fill317
78;;;55.7784;-36.7515;0;Bottom;Copper Fill214
79;;;46.8884;-93.2411;0;Bottom;Copper Fill302
80;;SO16;77.2039;-98.9299;90;Bottom;DRV8825 Stepper
81;;;19.812;-69.7715;0;Bottom;Copper Fill173
82;;;49.276;-78.598;0;Bottom;Copper Fill68
83;;;59.3725;-57.262;0;Bottom;Copper Fill559
84;;;65.151;-94.219;0;Bottom;Copper Fill354
85;0.22µF;0805 [SMD, multilayer];34.2668;-60.8157;0;Top;C6
86;;;39.116;-71.2066;0;Bottom;Copper Fill466
87;;;36.576;-73.518;0;Bottom;Copper Fill92
88;;;19.812;-114.831;0;Bottom;Copper Fill666
89;;THT;37.848;-84.9457;0;Bottom;J16
90;;;4.8133;-105.116;0;Bottom;Copper Fill222
91;;;16.8929;-110.346;0;Bottom;Via96
92;;;13.0429;-102.576;0;Bottom;Copper Fill673
93;;THT;37.848;-77.3257;0;Bottom;J18
