*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=speeduino pro NA6
*Date=15:00:24
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;49.3268;-60.4014;0;Bottom;Copper Fill400
2;;;64.5033;-20.9044;0;Bottom;Copper Fill244
3;;;52.6796;-22.9618;0;Bottom;Copper Fill519
4;;;5.0038;-54.7499;0;Bottom;Copper Fill575
5;1k;0805 [SMD];19.2405;-59.132;180;Top;R36
6;;;43.4594;-41.0974;0;Bottom;Copper Fill483
7;;;36.6268;-55.3214;0;Bottom;Copper Fill428
8;;;11.0236;-48.2856;0;Bottom;Copper Fill473
9;;;36.6268;-57.8614;0;Bottom;Copper Fill412
10;;;30.8911;-5.79206;0;Bottom;Via121
11;;THT;35.3362;-59.132;0;Bottom;J13
12;;;78.4352;-84.7854;0;Bottom;Copper Fill324
13;;;67.6529;-40.9704;0;Bottom;Copper Fill310
14;;;67.6529;-41.834;0;Bottom;Copper Fill309
15;;;37.8968;-13.8432;0;Bottom;Copper Fill527
16;;;29.5529;-45.0344;0;Bottom;Copper Fill143
17;;;56.9214;-29.0324;0;Bottom;Copper Fill124
18;;;18.9484;-94.1199;0;Bottom;Copper Fill298
19;;;48.6029;-19.3804;0;Bottom;Copper Fill288
20;;;5.4737;-54.3054;0;Bottom;Copper Fill574
21;;;44.7929;-45.4154;0;Bottom;Copper Fill173
22;;;68.3133;-24.7144;0;Bottom;Copper Fill581
23;;;13.0937;-18.974;0;Bottom;Copper Fill698
24;;;75.3364;-13.0558;0;Bottom;Copper Fill538
25;;;44.2468;-62.9414;0;Bottom;Copper Fill35
26;;;63.2333;-68.9104;0;Bottom;Copper Fill215
27;;THT;50.5762;-54.052;0;Bottom;J47
28;;;88.6333;-83.5154;0;Bottom;Copper Fill137
29;;;34.8488;-15.3799;0;Bottom;Copper Fill677
30;;SO16;77.2321;-78.1961;90;Bottom;DRV8825 Stepper
31;;;39.7129;-40.6148;0;Bottom;Copper Fill665
32;;;82.3976;-83.9218;0;Bottom;Copper Fill336
33;;;13.0937;-29.134;0;Bottom;Copper Fill234
34;;;56.7436;-31.8518;0;Bottom;Copper Fill112
35;;;95.0214;-74.3714;0;Bottom;Copper Fill5
36;;;28.2829;-72.7204;0;Bottom;Copper Fill599
37;;THT;32.7962;-56.592;0;Bottom;J3
38;0.1µF;1206 [SMD, multilayer];47.4013;-13.7671;90;Top;C17
39;;;91.6686;-24.054;0;Bottom;Copper Fill520
40;;THT;40.4162;-51.512;0;Bottom;J21
41;;;54.4068;-62.9414;0;Bottom;Copper Fill39
42;;;26.4033;-43.1548;0;Bottom;Copper Fill659
43;;;95.0214;-64.2114;0;Bottom;Copper Fill28
