*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=speeduino pro NA6
*Date=14:02:53
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;39.1668;-55.3214;0;Bottom;Copper Fill332
2;;0805 [SMD];25.8112;-7.9419;-90;Top;LED7
3;;;10.5029;-49.0984;0;Bottom;Copper Fill197
4;;SO;24.465;-18.492;-90;Top;IC2
5;;;72.1614;-71.044;0;Bottom;Copper Fill254
6;;;51.8668;-52.7814;0;Bottom;Copper Fill354
7;;THT;45.4962;-51.512;0;Bottom;J33
8;;;59.4868;-57.8614;0;Bottom;Copper Fill324
9;;THT;60.7362;-64.212;0;Bottom;J70
10;;;55.3974;-5.8295;0;Bottom;Copper Fill441
11;;;60.842;-48.5839;0;Bottom;TXT8
12;100k;0805 [SMD];35.3362;-16.8319;90;Top;R33
13;;;49.8729;-33.9092;0;Bottom;Copper Fill487
14;;;39.1668;-60.4014;0;Bottom;Copper Fill43
15;;;5.4737;-54.3054;0;Bottom;Copper Fill449
16;;;34.0868;-55.3214;0;Bottom;Copper Fill330
17;;;59.4868;-55.3214;0;Bottom;Copper Fill340
18;;;95.0214;-66.7514;0;Bottom;Copper Fill262
19;;;51.8668;-60.4014;0;Bottom;Copper Fill304
20;;;29.0576;-6.9979;0;Bottom;Copper Fill472
21;47µF;B 3528 [SMD, tantalum];88.0412;-15.5471;90;Top;C15
22;;;46.7868;-60.4014;0;Bottom;Copper Fill302
23;;;95.0214;-64.2114;0;Bottom;Copper Fill23
24;;THT;42.9562;-61.672;0;Bottom;J26
25;;;54.4068;-55.3214;0;Bottom;Copper Fill338
26;;;97.0788;-86.4999;0;Bottom;Copper Fill191
27;;;95.4024;-86.4999;0;Bottom;Copper Fill490
28;;;25.7429;-6.528;0;Bottom;Copper Fill469
29;;;49.5554;-30.7088;0;Bottom;Copper Fill391
30;;;62.0061;-41.987;0;Bottom;Via52
31;;;59.4868;-52.7814;0;Bottom;Copper Fill95
32;;;22.0011;-15.3171;0;Bottom;Via22
33;2.4k;0805 [SMD];18.1912;-12.532;-90;Top;R26
34;;THT;40.4162;-61.672;0;Bottom;J20
35;;;41.7068;-52.7814;0;Bottom;Copper Fill350
36;;;46.7868;-60.4014;0;Bottom;Copper Fill46
37;;;54.991;-19.6979;0;Bottom;Copper Fill519
38;;;68.9229;-52.4004;0;Bottom;Copper Fill435
39;;;54.5084;-5.8295;0;Bottom;Copper Fill440
40;;;52.4129;-36.1444;0;Bottom;Copper Fill162
41;;;54.4068;-60.4014;0;Bottom;Copper Fill305
42;;THT;53.1162;-54.052;0;Bottom;J53
43;;THT;48.0362;-56.592;0;Bottom;J42
44;;;9.5758;-49.9747;0;Bottom;Copper Fill198
45;;THT;58.1962;-51.512;0;Bottom;J63
46;;;52.8574;-35.6999;0;Bottom;Copper Fill164
47;;;46.7868;-52.7814;0;Bottom;Copper Fill90
48;;THT;42.9562;-59.132;0;Bottom;J31
49;0.1µF;0805 [SMD, multilayer];19.2162;-64.212;0;Top;C22
50;;;98.0948;-40.6402;0;Bottom;Copper Fill101
51;;;43.5911;-83.8971;0;Bottom;Via49
52;;;29.0068;-65.4814;0;Bottom;Copper Fill263
53;1µF;0805 [SMD, multilayer];66.0611;-37.542;180;Top;C20
