*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Teensy 3.5 Adaptor v2
*Date=21:52:18
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;67.3481;-11.0969;0;Bottom;Copper Fill131
2;;;95.3262;-31.5439;0;Bottom;Copper Fill246
3;;;16.127;-5.53161;-90;Bottom;TXT20
4;;;13.6101;-5.04497;-90;Bottom;TXT20
5;;;52.1081;-10.2079;0;Bottom;Copper Fill350
6;;;78.7781;-12.3669;0;Bottom;Copper Fill324
7;;;57.2205;-10.5834;0;Bottom;Via16
8;;;78.8105;-11.8534;0;Bottom;Via24
9;;;71.1581;-10.2079;0;Bottom;Copper Fill304
10;;;78.1755;-24.5534;0;Bottom;Via25
11;;;66.0908;-50.7971;0;Bottom;Copper Fill183
12;;;99.3684;-45.3999;0;Bottom;TXT19
13;;;91.1651;-24.9967;0;Bottom;TXT19
14;;;55.753;-11.4525;0;Bottom;Copper Fill278
15;;;14.6812;-24.2541;0;Bottom;Copper Fill51
16;;;97.3582;-7.452;0;Bottom;Copper Fill151
17;;;91.1651;-32.4555;0;Bottom;TXT19
18;;;57.1881;-10.2079;0;Bottom;Copper Fill337
19;;;94.0181;-6.6519;0;Bottom;Copper Fill145
20;;;39.4081;-29.8929;0;Bottom;Copper Fill96
21;;;40.1828;-6.2963;0;Bottom;Copper Fill297
22;;;99.3684;-35.1271;0;Bottom;TXT19
23;;;95.3262;-11.2239;0;Bottom;Copper Fill276
24;;;25.1968;-51.4829;0;Bottom;Copper Fill168
25;;;39.4831;-47.9272;-90;Bottom;TXT19
26;;;82.3722;-32.2424;0;Bottom;Copper Fill141
27;;;33.3502;-45.7679;0;Bottom;Copper Fill26
28;180k;0805 [SMD];66.1105;-6.38318;90;Top;R13
29;;;95.3262;-18.8439;0;Bottom;Copper Fill78
30;;;35.3568;-51.4829;0;Bottom;Copper Fill7
31;;;22.6568;-51.4829;0;Bottom;Copper Fill167
32;;;27.5844;-40.2053;0;Bottom;Copper Fill215
33;;;22.5044;-20.6219;0;Bottom;Copper Fill67
34;;;73.0377;-32.0265;0;Bottom;Copper Fill134
35;;;55.0418;-17.5231;0;Bottom;Copper Fill75
36;;;90.2462;-25.6511;0;Bottom;Copper Fill47
37;;;80.0608;-51.4829;0;Bottom;Copper Fill22
38;;;37.8968;-51.4829;0;Bottom;Copper Fill8
39;;;67.3608;-6.4233;0;Bottom;Copper Fill293
40;;;67.3481;-10.2079;0;Bottom;Copper Fill332
41;180k;0805 [SMD];55.9505;-6.38318;90;Top;R5
42;;;23.7236;-3.0324;0;Bottom;Copper Fill348
43;;;11.7094;-43.3549;0;Bottom;Copper Fill201
44;;;58.293;-11.4525;0;Bottom;Copper Fill279
45;;;81.9855;-22.0134;0;Bottom;Via2
46;;;91.3611;-50.4048;0;Bottom;TXT19
47;;;77.3684;-36.1667;0;Bottom;Copper Fill226
48;;;26.5938;-37.4367;0;Bottom;Copper Fill233
49;330k;0805 [SMD];66.1105;-14.0032;-90;Top;R14
50;;;39.4406;-30.2683;0;Bottom;Via35
51;;;74.1172;-31.3407;0;Bottom;Copper Fill245
52;;;24.1681;-7.8965;0;Bottom;Copper Fill309
53;;;39.5224;-8.8109;0;Bottom;Copper Fill295
54;;;48.5686;-48.0493;-90;Bottom;TXT19
55;;;51.4477;-27.6069;0;Bottom;Copper Fill313
