*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Teensy 3.5 Adaptor
*Date=09:44:27
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;48.3142;-30.9033;0;Bottom;J3
2;;;26.854;-17.4709;0;Bottom;TXT18
3;;;41.8973;-0.7083;0;Bottom;Copper Fill269
4;330k;0805 [SMD];67.9992;-14.0032;-90;Top;R16
5;;;23.5077;-3.4769;0;Bottom;Copper Fill303
6;;;34.4949;-47.6956;-90;Bottom;TXT19
7;;;98.6693;-22.6639;0;Bottom;TXT19
8;;;77.5241;-19.4734;0;Bottom;Via23
9;;;36.3466;-5.74226;0;Bottom;TXT5
10;;;98.6693;-15.0261;0;Bottom;TXT19
11;;;14.1732;-29.7024;0;Bottom;Copper Fill116
12;;;55.3974;-30.9089;0;Bottom;Copper Fill29
13;;;66.6877;-11.0969;0;Bottom;Copper Fill138
14;;;16.5608;-24.2541;0;Bottom;Copper Fill46
15;;;36.8841;-4.23335;0;Bottom;Via10
16;;;55.7276;-29.4357;0;Bottom;Copper Fill191
17;;;38.2778;-11.4271;0;Bottom;Copper Fill254
18;;;19.1008;-37.4875;0;Bottom;Copper Fill20
19;;;97.9424;-31.4423;0;Bottom;Copper Fill34
20;;;70.2818;-25.0415;0;Bottom;Copper Fill219
21;;;49.8094;-47.7237;0;Bottom;Copper Fill10
22;;;36.8046;-24.2541;0;Bottom;Copper Fill54
23;;;23.5491;-7.40835;0;Bottom;Via30
24;;;48.9491;-10.5834;0;Bottom;Via14
25;;;81.2673;-31.7979;0;Bottom;Copper Fill135
26;;;70.9676;-18.1835;0;Bottom;Copper Fill69
27;;;94.4118;-3.0324;0;Bottom;Copper Fill148
28;;;23.5077;-7.0329;0;Bottom;Copper Fill274
29;;;73.9493;-5.40915;-90;Bottom;TXT19
30;;;56.7182;-39.5957;0;Bottom;Copper Fill17
31;;;53.9877;-10.2079;0;Bottom;Copper Fill313
32;;;81.2673;-32.6869;0;Bottom;Copper Fill134
33;;;29.4149;-47.6956;-90;Bottom;TXT19
34;;;7.8994;-35.9127;0;Bottom;Copper Fill195
35;;;77.4573;-24.1779;0;Bottom;Copper Fill104
36;;;90.5138;-45.3247;0;Bottom;TXT19
37;;;37.6317;-7.61951;0;Bottom;TXT6
38;;;56.5404;-6.3979;0;Bottom;Copper Fill258
39;;;89.8906;-24.3557;0;Bottom;Copper Fill42
40;;;35.6142;-12.4883;0;Bottom;Via7
41;;;45.7741;-11.8534;0;Bottom;Via22
42;;;24.892;-37.4621;0;Bottom;Copper Fill199
43;;;56.5277;-11.0969;0;Bottom;Copper Fill133
44;;;37.7444;-46.4537;0;Bottom;Copper Fill7
45;;;61.6077;-11.0969;0;Bottom;Copper Fill141
46;;;29.2608;-24.2541;0;Bottom;Copper Fill51
47;;;89.7128;-27.0989;0;Bottom;Copper Fill38
48;;;49.0474;-20.6219;0;Bottom;Copper Fill232
49;;;9.779;-43.6597;0;Bottom;Copper Fill161
50;;;12.7381;-7.8965;0;Bottom;Copper Fill271
51;;;47.6377;-2.8165;0;Bottom;Copper Fill322
52;;;51.0286;-19.5043;0;Bottom;Copper Fill235
53;;;95.3262;-18.8439;0;Bottom;Copper Fill237
54;;;95.3262;-34.0839;0;Bottom;Copper Fill33
55;;;12.7381;-9.5729;0;Bottom;Copper Fill270
56;;;71.4471;-47.7896;-90;Bottom;TXT19
57;;;2.5781;-24.1779;0;Bottom;Copper Fill300
58;;;83.6168;-26.5401;0;Bottom;Copper Fill216
59;;;39.4208;-37.4875;0;Bottom;Copper Fill28
60;;;36.8841;-13.1234;0;Bottom;Via3
61;;;21.6408;-37.4875;0;Bottom;Copper Fill21
62;;;14.6177;-30.1469;0;Bottom;Copper Fill296
63;;;86.8;-47.7896;-90;Bottom;TXT19
64;330k;0805 [SMD];65.4592;-14.0032;-90;Top;R14
65;;;77.6732;-11.9224;0;Bottom;Copper Fill291
66;;;93.1672;-7.452;0;Bottom;Copper Fill307
67;;;91.5162;-14.8815;0;Bottom;Copper Fill75
68;;;49.0982;-30.9724;0;Bottom;Copper Fill308
69;;;64.6684;-35.3539;0;Bottom;Copper Fill179
70;;;78.5368;-11.9224;0;Bottom;Copper Fill109
71;;;98.7625;-9.94614;0;Bottom;TXT19
72;;;14.6177;-29.2579;0;Bottom;Copper Fill297
73;;;36.8841;-5.50335;0;Bottom;Via9
74;;;80.8228;-32.2424;0;Bottom;Copper Fill136
75;;;95.3008;-51.5337;0;Bottom;Copper Fill150
76;;;14.0208;-24.2541;0;Bottom;Copper Fill45
77;;;95.3262;-26.4639;0;Bottom;Copper Fill222
78;330k;0805 [SMD];55.2992;-14.0032;-90;Top;R6
79;;;15.4755;-5.53168;-90;Bottom;TXT20
80;;;36.8841;-10.5834;0;Bottom;Via5
81;;;24.1808;-37.4875;0;Bottom;Copper Fill22
82;;;79.18;-47.7896;-90;Bottom;TXT19
83;;;91.1606;-17.3707;0;Bottom;Copper Fill73
84;;;61.6491;-10.5834;0;Bottom;Via18
85;;;72.3773;-32.0265;0;Bottom;Copper Fill128
86;;;4.191;-2.6133;0;Bottom;Copper Fill82
87;;;54.9529;-27.6069;0;Bottom;Copper Fill277
88;;;23.5077;-7.8965;0;Bottom;Copper Fill91
89;;;35.179;-46.1489;0;Bottom;Copper Fill6
90;;;59.0677;-10.2079;0;Bottom;Copper Fill317
91;;;21.844;-20.6473;0;Bottom;Copper Fill62
92;;;97.7773;-2.5879;0;Bottom;Copper Fill282
93;;;23.0632;-3.0324;0;Bottom;Copper Fill304
94;;;61.341;-33.4489;0;Bottom;Copper Fill201
95;;;74.1;-47.7896;-90;Bottom;TXT19
96;;;95.3262;-13.7639;0;Bottom;Copper Fill245
97;;;59.0677;-11.0969;0;Bottom;Copper Fill140
98;;;81.7118;-32.2424;0;Bottom;Copper Fill137
99;;;97.3328;-3.0324;0;Bottom;Copper Fill101
100;;;90.5138;-37.5918;0;Bottom;TXT19
101;;;6.6294;-19.0471;0;Bottom;Copper Fill58
102;;;39.243;-7.6425;0;Bottom;Copper Fill265
103;;;75.3618;-26.7941;0;Bottom;Copper Fill206
104;;;2.5781;-24.1779;0;Bottom;Copper Fill121
105;;;84.3165;-47.7896;-90;Bottom;TXT19
