*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.2
*Date=14:46:31
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;50.5714;-42.5374;0;Bottom;Copper Fill34
2;;;20.0533;-36.1874;0;Bottom;Copper Fill166
3;;;11.1633;-92.677;0;Bottom;Copper Fill240
4;;;51.8668;-85.0824;0;Bottom;Copper Fill12
5;;;87.8586;-102.697;0;Bottom;Copper Fill150
6;470;THT;63.2996;-22.6427;-90;Bottom;R6
7;;;50.292;-78.961;0;Bottom;Copper Fill215
8;;;54.0258;-131.907;0;Bottom;Copper Fill83
9;;;65.2082;-99.9245;0;Bottom;TXT4
10;;;73.3933;-33.6474;0;Bottom;Copper Fill142
11;;;23.3426;-89.9973;0;Bottom;Copper Fill40
12;;;19.2786;-35.3873;0;Bottom;Copper Fill343
13;;;29.4386;-32.8473;0;Bottom;Copper Fill134
14;;;56.7817;-7.3584;0;Bottom;Copper Fill328
15;680;THT;21.3896;-117.893;-90;Bottom;R18
16;;;73.3933;-26.9926;0;Bottom;Copper Fill364
17;;;88.2396;-54.6278;0;Bottom;Copper Fill210
18;;;79.9846;-80.2818;0;Bottom;Copper Fill198
19;;;49.3013;-105;0;Bottom;TXT1
20;;;24.3586;-102.697;0;Bottom;Copper Fill130
21;;;30.2133;-103.497;0;Bottom;Copper Fill55
22;0.1µF;200 mil [THT, multilayer];30.2796;-105.193;-90;Bottom;C15
23;;;96.2533;-122.192;0;Bottom;Copper Fill274
24;;;75.5142;-123.017;0;Bottom;Copper Fill93
25;;;56.7817;-9.6698;0;Bottom;Copper Fill141
26;;;74.6633;-75.5574;0;Bottom;Copper Fill105
27;;;70.8418;-103.765;0;Bottom;TXT4
28;;;92.9386;-49.3573;0;Bottom;Copper Fill37
29;;;25.1333;-103.497;0;Bottom;Copper Fill263
30;0.22µF;200 mil [THT, multilayer];58.2196;-35.3427;-90;Bottom;C6
31;;;23.3426;-67.1373;0;Bottom;Copper Fill305
32;0.22µF;200 mil [THT, multilayer];59.4896;-53.1227;90;Bottom;C8
33;;v18za2p;26.4696;-98.8427;0;Bottom;U2
34;;;30.2133;-32.0726;0;Bottom;Copper Fill322
35;;;9.9441;-39.6926;0;Bottom;Copper Fill153
36;;;31.4833;-26.9926;0;Bottom;Copper Fill346
37;;;25.1333;-101.923;0;Bottom;Copper Fill129
38;;;48.3362;-32.8981;0;Bottom;Copper Fill69
39;;300 mil [THT];68.3796;-36.5873;-90;Bottom;D5
40;;;77.5462;-32.8981;0;Bottom;Copper Fill363
41;;;83.0834;-102.697;0;Bottom;Copper Fill370
42;;;30.7848;-98.8873;0;Bottom;Copper Fill233
43;;;88.6333;-101.923;0;Bottom;Copper Fill149
44;;;67.4116;-73.0682;0;Bottom;Copper Fill202
45;;;44.1833;-28.5674;0;Bottom;Copper Fill258
46;;5 mm [THT];22.6595;-65.2437;0;Bottom;LED8
47;;;58.1533;-28.5674;0;Bottom;Copper Fill173
48;;;96.2533;-122.192;0;Bottom;Copper Fill75
49;680;THT;86.1596;-117.893;-90;Bottom;R9
50;;5 mm [THT];81.0795;-132.554;0;Bottom;LED1
51;;;36.7665;-9.6698;0;Bottom;Copper Fill185
52;;;95.0468;-58.2092;0;Bottom;Copper Fill214
53;;;23.3426;-67.1373;0;Bottom;Copper Fill113
54;;;43.4086;-27.7673;0;Bottom;Copper Fill71
