*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3.2
*Date=00:39:59
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.38293;-97.3846;0;Bottom;TXT4
2;;;51.8922;-53.1292;0;Bottom;Copper Fill66
3;;;86.8228;-61.3777;0;Bottom;TXT8
4;;;50.6418;-68.3627;0;Bottom;Arduino Mega 2560
5;;;74.7522;-53.1292;0;Bottom;Copper Fill189
6;;;91.313;-53.1038;0;Bottom;Copper Fill178
7;680;THT;30.3078;-60.7427;-90;Bottom;R33
8;;;91.9923;-0.864614;0;Bottom;TXT4
9;;;62.0522;-55.6692;0;Bottom;Copper Fill53
10;;5 mm [THT];37.8995;-132.554;0;Bottom;LED3
11;;;96.375;-30.5492;0;Bottom;TXT4
12;;TO220 [THT];22.6596;-85.8887;180;Bottom;Q5
13;;;95.0468;-88.6892;0;Bottom;Copper Fill11
14;;;95.0468;-91.2292;0;Bottom;Copper Fill10
15;;THT;91.2396;-23.9127;0;Bottom;JP4
16;160;THT;62.0578;-81.0627;90;Bottom;R25
17;10k;THT;86.1596;-22.6427;90;Bottom;R39
18;;;36.4726;-109.337;-90;Bottom;IMG1
19;;;95.0468;-83.6092;0;Bottom;Copper Fill125
20;680;THT;32.8478;-50.5827;0;Bottom;R34
21;;;49.3522;-53.1292;0;Bottom;Copper Fill65
22;;;67.1322;-50.5892;0;Bottom;Copper Fill203
23;;;69.6722;-58.2092;0;Bottom;Copper Fill150
24;;;56.9722;-55.6692;0;Bottom;Copper Fill51
25;;;74.7522;-58.2092;0;Bottom;Copper Fill41
26;;;56.9722;-50.5892;0;Bottom;Copper Fill199
27;;300 mil [THT];63.2996;-36.5873;90;Bottom;D6
28;0.22µF;200 mil [THT, multilayer];44.9128;-58.2027;90;Bottom;C8
29;;;49.9872;-69.0804;0;Bottom;Copper Fill101
30;;;2.15138;-55.5168;0;Bottom;TXT4
31;;;53.1622;-65.1942;0;Bottom;Copper Fill23
32;;;74.7522;-53.1292;0;Bottom;Copper Fill75
33;;;51.8922;-58.2092;0;Bottom;Copper Fill32
34;;THT;58.2478;-65.1877;90;Bottom;J9
35;;;91.2876;-56.9138;0;Bottom;Copper Fill158
36;;;2.15138;-115.447;0;Bottom;TXT4
37;100k;THT;74.7296;-117.893;-90;Bottom;R14
38;;;49.3522;-50.5892;0;Bottom;Copper Fill82
39;10k;THT;34.0896;-20.1027;-90;Bottom;R54
40;;DIP (Dual Inline) [THT];74.7296;-82.3327;180;Bottom;IC1
41;;;82.0115;-0.914567;0;Bottom;TXT4
42;;;54.4322;-58.2092;0;Bottom;Copper Fill144
43;;;79.8322;-55.6692;0;Bottom;Copper Fill60
44;;;51.8922;-55.6692;0;Bottom;Copper Fill161
45;;;62.0522;-50.5892;0;Bottom;Copper Fill201
46;;;97.6122;-29.304;0;Bottom;Copper Fill100
47;;;78.486;-27.7038;0;Bottom;Copper Fill216
48;;;49.3522;-53.1292;0;Bottom;Copper Fill179
49;;DIP (Dual Inline) [THT];74.7578;-70.9027;180;Bottom;IC2
50;;3 mm [THT];20.6986;-56.9329;-90;Bottom;LED6
51;;;72.2122;-50.5892;0;Bottom;Copper Fill91
52;;;95.0468;-63.2892;0;Bottom;Copper Fill28
53;;;56.9722;-55.6692;0;Bottom;Copper Fill163
54;;;41.6375;-0.864567;0;Bottom;TXT4
55;;;77.2922;-50.5892;0;Bottom;Copper Fill93
56;;;64.5922;-53.1292;0;Bottom;Copper Fill71
57;100k;THT;86.1596;-89.9527;180;Bottom;R35
58;;;2.5365;-70.9202;0;Bottom;TXT4
59;;;77.2922;-55.6692;0;Bottom;Copper Fill59
60;;;15.4686;-112.641;0;Bottom;Copper Fill107
61;;;82.3722;-58.2092;0;Bottom;Copper Fill155
62;;;2.15138;-50.4368;0;Bottom;TXT4
63;;;87.4522;-50.5892;0;Bottom;Copper Fill97
64;;;59.5122;-50.5892;0;Bottom;Copper Fill86
65;;;36.5561;-0.876324;0;Bottom;TXT4
