Reference, Quantity, Value, Footprint, Datasheet, Digikey Part Number, Manufacturer_Name, Manufacturer_Part_Number, URL, Part #, Voltage, Allied_Number, Description, RS Part Number, RS Price/Stock, TR PN, Tube PN, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive
A1 ,1,"Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
C1 C15 ,2,"0.01uF","Capacitor_SMD:C_0805_2012Metric","~","311-1136-1-ND","Yageo","CC0805KRX7R9BB103","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","","","","","","","","","","",""
C17 ,1,"10uF","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","399-8361-1-ND","Kemet","T491D106K050AT","https://www.digikey.com/product-detail/en/kemet/T491D106K050AT/399-8361-1-ND/3472084","","35v","","","","","","","","",""
C19 ,1,"22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","1276-6687-1-ND","Samsung","CL21A226KQCLRNC","https://www.digikey.com.au/product-detail/en/samsung-electro-mechanics/CL21A226KQCLRNC/1276-6687-1-ND/5961546","","","","","","","","","","",""
C21 ,1,"47uF","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","~","478-1692-1-ND","AVX","TAJB476K006RNJ","https://www.digikey.com/product-detail/en/avx-corporation/TAJB476K006RNJ/478-1692-1-ND/564724","","10v","","","","","","","","",""
C24 C26 C3 C9 C10 C11 C4 C16 C18 C20 C23 C22 ,12,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~","311-1140-1-ND","Yageo","CC0805KRX7R9BB104","https://www.digikey.com.au/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-1-ND/303050","","","","","","","","","","",""
C25 C27 C2 ,3,"1uF","Capacitor_SMD:C_0805_2012Metric","~","311-1365-1-ND","Yageo","CC0805KKX7R7BB105","https://www.digikey.com/product-detail/en/yageo/CC0805KKX7R7BB105/311-1365-1-ND/2103149","","","","","","","","","","",""
C6 C12 C13 C14 C7 C5 ,6,"0.22uF","Capacitor_SMD:C_0805_2012Metric","~","1276-1284-1-ND","Samsung","CL21B224KOCNNNC","https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21B224KOCNNNC/1276-1284-1-ND/3889370","","","","","","","","","","",""
C8 ,1,"470pf","Capacitor_SMD:C_0805_2012Metric","~","311-1124-1-ND","Yageo","CC0805KRX7R9BB471","https://www.digikey.com/product-detail/en/yageo/CC0805KRX7R9BB471/311-1124-1-ND/303034","","","","","","","","","","",""
D12 D11 D5 D6 D18 D17 D19 D16 ,8,"D","Diode_SMD:D_SOD-323","~","1N4448WXTPMSCT-ND","MCC","1N4448WX-TP","https://www.digikey.com/product-detail/en/micro-commercial-co/1N4448WX-TP/1N4448WXTPMSCT-ND/789338","","","","","","","","","","",""
D13 D20 ,2,"D_Zener","Diode_SMD:D_SOD-323","~","MM3Z5V1ST1GOSCT-ND","On Semi","MM3Z5V1ST1G","https://www.digikey.com/product-detail/en/on-semiconductor/MM3Z5V1ST1G/MM3Z5V1ST1GOSCT-ND/964547","MM3Z5V1ST1G","","","","","","","","","",""
D14 ,1,"B130-13-F","Diode_SMD:D_SMA","https://www.mouser.com/datasheet/2/115/ds13002-60388.pdf","B130-FDICT-ND","Diodes Inc","B130-13-F","https://www.digikey.com.au/product-detail/en/diodes-incorporated/B130-13-F/B130-FDICT-ND/815318","","","","","","","","","","",""
D15 ,1,"1SMB5919BT3G","Diode_SMD:D_SMB","~","1SMB5919BT3GOSCT-ND ","On Semi","1SMB5919BT3G","https://www.digikey.com.au/product-detail/en/on-semiconductor/1SMB5919BT3G/1SMB5919BT3GOSCT-ND/917722","","","","","","","","","","",""
