Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C16,T356G106K035AT,1
"C1,C3,C5,C13,C15",C322C104M5R5TA7301,5
"C7,C9",08055C104KAT2A,2
C14,T356F476K006AT,1
C18,AR215F334K4R,1
C19,C317C103K5R5TA,1
"C11,C12,C20",CC0805KKX7R7BB105,3
C23,C317C472K1R5TA,1
"C2,C4,C6,C8,C24,C10",CL21B224KOCNNNC,6
D16,1N5919BG,1
"D15,D17",1N5818-TP,2
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8",LTL-4221N,8
"D9,D10,D11,D12",1N4004-TP,4
U2,ERZ-V14D220,1
Jumpers for male pins,969102-0000-DA,5
"JP1,JP2,JP3",M20-9990345,3
"JP4,JP5",M20-9990245,2
J4,3020-40-0100-00,1
IC3,PPPC041LFBN-RC,2
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",STP75NS04Z,8
R54,MFR-25FBF52-10K,1
"R10,R13,R16,R19,R23,R24,R29,R30,R39,R40,R50,R51,R57,R58",MFR-25FBF52-1K,14
"R9,R12,R15,R18",CFR-25JB-52-680R,4
"R2,R4,R6,R8,R22,R41",CFR-25JB-52-470R,6
"R1,R3,R26,R28,R33,R34,R61",RT0805BRD072K49L,7
R7,RC0805FR-073K9L,1
R21,MFP-25BRD52-1K,1
"R11,R14,R17,R20,R35,R36,R37,R38,R48,R49,R55,R56",MFR-25FBF52-100K,12
"R25,R27,R31,R32",FMP200JR-52-180R,4
"R59,R60",RC0805FR-071KL,2
R62,RC0805FR-07120RL,1
U1,LM2940T-5.0/NOPB,1
MPX4250A,MPX4250AP,1
"IC1,IC2",TC4424EPA,2
IC4,SP721APP,1
