*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=NA Miata 48 pin
*Date=13:46:07
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;5.6896;-42.1896;0;Bottom;Copper Fill56
2;;;7.6962;-20.6631;0;Bottom;Copper Fill38
3;;;12.9794;-7.3535;0;Bottom;Copper Fill88
4;;;2.63283;-88.5802;0;Bottom;TXT2
5;;THT;5.81996;-39.665;0;Bottom;J1
6;;;17.1958;-85.4331;0;Bottom;Copper Fill85
7;;;5.6896;-24.4096;0;Bottom;Copper Fill64
8;10k;THT;16.488;-80.305;90;Bottom;R2
9;;;5.6896;-37.1096;0;Bottom;Copper Fill13
10;;;32.9979;-92.5582;0;Bottom;Hole1
11;;THT;22.3088;-66.4293;0;Bottom;1O
12;;;13.8557;-6.4772;0;Bottom;Copper Fill87
13;;THT;26.6973;-20.5843;0;Bottom;2V
14;;;5.6896;-52.3496;0;Bottom;Copper Fill49
15;;;10.0965;-72.5426;0;Bottom;Copper Fill79
16;;;21.2852;-51.1939;0;Bottom;Copper Fill74
17;;THT;22.3088;-72.4499;0;Bottom;1K
18;;;5.6896;-32.0296;0;Bottom;Copper Fill60
19;;;3.6068;-62.154;0;Bottom;Copper Fill42
20;;;5.6896;-42.1896;0;Bottom;Copper Fill11
21;;;16.8656;-72.0727;0;Bottom;Copper Fill28
22;;THT;22.2384;-29.59;-90;Bottom;2O
23;;;32.9979;-53.7056;0;Bottom;Hole2
24;;;10.922;-73.3427;0;Bottom;Copper Fill81
25;;;5.6896;-39.6496;0;Bottom;Copper Fill57
26;;THT;22.3206;-60.4321;0;Bottom;1S
27;;;5.6896;-59.9696;0;Bottom;Copper Fill43
28;;THT;26.7538;-69.4276;0;Bottom;1N
29;;;12.6746;-67.5896;0;Bottom;Copper Fill2
30;;THT;26.6834;-29.6131;0;Bottom;2P
31;;THT;22.3088;-63.4541;0;Bottom;1Q
32;;;22.1098;-90.6514;0;Bottom;TXT1
33;;;5.6896;-16.7896;0;Bottom;Copper Fill69
34;;;3.6068;-57.455;0;Bottom;Copper Fill46
35;;;5.6896;-47.2696;0;Bottom;Copper Fill9
36;;;16.4879;-72.05;0;Bottom;Via3
37;;;7.6962;-20.6631;0;Bottom;Copper Fill86
38;;;22.1869;-52.0956;0;Bottom;Copper Fill25
39;;;5.6896;-34.5696;0;Bottom;Copper Fill59
40;;THT;22.3088;-84.5501;0;Bottom;1C
41;;THT;26.6832;-47.6494;0;Bottom;2D
42;;;2.9718;-40.0814;0;Bottom;Copper Fill53
43;;THT;26.7538;-66.4527;0;Bottom;1P
44;;;16.4465;-84.6584;0;Bottom;Copper Fill33
45;;;19.9898;-50.0128;0;Bottom;Copper Fill24
46;;;16.4465;-71.679;0;Bottom;Copper Fill76
47;;;16.4465;-72.5172;0;Bottom;Copper Fill26
48;;;16.002;-72.0727;0;Bottom;Copper Fill77
49;;THT;26.6973;-13.5852;0;Bottom;2Z
50;;;5.6896;-49.8096;0;Bottom;Copper Fill8
51;;THT;22.2147;-44.5689;0;Bottom;2E
52;;;3.6068;-52.375;0;Bottom;Copper Fill50
