*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4.3
*Date=12:15:53
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;8.6614;-35.6364;0;Bottom;Copper Fill469
2;;;69.0372;-89.6495;0;Bottom;Copper Fill724
3;;;8.6614;-22.9364;0;Bottom;Copper Fill136
4;1k;THT;22.6362;-92.787;180;Bottom;R16
5;;;77.8129;-14.9354;0;Bottom;Copper Fill628
6;;;96.8629;-19.3804;0;Bottom;Copper Fill220
7;;;51.1429;-74.6254;0;Bottom;Copper Fill241
8;;;6.1214;-15.3164;0;Bottom;Copper Fill161
9;;;54.3433;-42.2404;0;Bottom;Copper Fill579
10;;TO220 [THT];39.4002;-61.037;90;Bottom;Q5
11;0.22µF;200 mil [THT, multilayer];39.1462;-39.447;90;Bottom;C8
12;;;56.2229;-74.6254;0;Bottom;Copper Fill705
13;;;21.3614;-31.1914;0;Bottom;Copper Fill113
14;;;95.0214;-78.1814;0;Bottom;Copper Fill26
15;;;39.1033;-42.7738;0;Bottom;Copper Fill684
16;;;41.529;-9.6395;0;Bottom;Copper Fill715
17;;;95.3516;-33.4012;0;Bottom;Copper Fill105
18;;;98.5774;-52.8195;0;Bottom;Copper Fill338
19;;;46.4566;-62.9795;0;Bottom;Copper Fill318
20;;;56.2229;-74.6254;0;Bottom;Copper Fill339
21;;;6.1214;-22.9364;0;Bottom;Copper Fill135
22;;;3.5433;-84.8616;0;Bottom;Copper Fill650
23;;;13.7414;-7.6964;0;Bottom;Copper Fill562
24;;;11.2014;-38.1764;0;Bottom;Copper Fill462
25;;;31.1658;-83.8456;0;Bottom;Copper Fill380
26;;;66.3829;-38.9384;0;Bottom;Copper Fill662
27;;THT;12.4762;-16.587;0;Bottom;J22
28;470;THT;70.2612;-22.302;-90;Bottom;R22
29;;;18.1911;-64.847;0;Bottom;Via35
30;;;11.2014;-33.0964;0;Bottom;Copper Fill477
31;;TO220 [THT];49.9412;-61.418;180;Bottom;Q6
32;;;86.8172;-48.1332;0;Bottom;Copper Fill421
33;;;76.454;-94.7295;0;Bottom;Copper Fill721
34;;300 mil [THT];30.2562;-23.5466;-90;Bottom;D17
35;;;78.2574;-15.3799;0;Bottom;Copper Fill249
36;;;25.6032;-9.3728;0;Bottom;Copper Fill180
37;;;6.1214;-17.8564;0;Bottom;Copper Fill532
38;;;32.9184;-37.5795;0;Bottom;Copper Fill590
39;;;36.576;-24.3842;0;Bottom;Copper Fill516
40;;;93.7133;-32.7154;0;Bottom;Copper Fill351
41;;;90.5129;-10.4904;0;Bottom;Copper Fill566
42;;;84.6074;-40.7799;0;Bottom;Copper Fill214
43;;;60.0329;-76.1748;0;Bottom;Copper Fill284
44;;;13.7414;-20.3964;0;Bottom;Copper Fill146
45;;;43.2562;-91.5418;0;Bottom;Copper Fill372
46;;;3.175;-18.9486;0;Bottom;Copper Fill525
47;;;92.8633;-84.1589;0;Bottom;TXT8
48;;;92.8116;-52.1972;0;Bottom;Copper Fill416
49;;;16.4084;-69.9899;0;Bottom;Copper Fill320
50;;;95.0214;-65.4814;0;Bottom;Copper Fill44
51;;;24.2316;-18.8216;0;Bottom;Copper Fill147
52;;;3.6068;-42.3166;0;Bottom;Copper Fill79
53;;;44.958;-36.9699;0;Bottom;Copper Fill699
54;;;96.4184;-19.7995;0;Bottom;Copper Fill594
55;;;27.0811;-8.96706;0;Bottom;Via15
56;;;88.6333;-72.7204;0;Bottom;Copper Fill632
57;;;11.2014;-30.5564;0;Bottom;Copper Fill490
58;;THT;93.5022;-91.0489;0;Bottom;J3
59;;;8.6614;-15.3164;0;Bottom;Copper Fill162
60;;;65.7733;-57.8614;0;Bottom;Copper Fill268
61;;;82.3722;-85.8395;0;Bottom;Copper Fill366
62;;;94.7674;-10.9095;0;Bottom;Copper Fill597
63;;;93.8784;-10.9095;0;Bottom;Copper Fill223
64;0.1µF;200 mil [THT, multilayer];62.0062;-14.682;0;Bottom;C9
65;;THT;7.3962;-24.207;0;Bottom;J48
66;;THT;9.9362;-31.827;0;Bottom;J40
