*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4.4-smt
*Date=08:10:02
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;85.4202;-45.7456;0;Bottom;Copper Fill454
2;;;25.3746;-13.5638;0;Bottom;Copper Fill139
3;;300 mil [THT];30.2562;-23.5466;-90;Bottom;D17
4;;;65.8161;-17.2221;0;Bottom;Via58
5;;;47.3964;-65.7862;0;Bottom;Copper Fill430
6;;;25.1333;-29.7944;0;Bottom;Copper Fill695
7;;;67.6529;-36.5254;0;Bottom;Copper Fill775
8;;;79.0829;-21.2854;0;Bottom;Copper Fill219
9;;;8.2296;-85.3696;0;Bottom;Copper Fill397
10;;;6.7437;-46.5838;0;Bottom;Copper Fill370
11;;THT;4.8562;-24.207;0;Bottom;J60
12;;;96.4184;-19.7995;0;Bottom;Copper Fill193
13;;;6.1214;-22.9364;0;Bottom;Copper Fill110
14;;;94.1324;-33.1599;0;Bottom;Copper Fill687
15;;;65.3288;-17.2595;0;Bottom;Copper Fill707
16;;;66.548;-26.1495;0;Bottom;Copper Fill768
17;;;90.5129;-50.7748;0;Bottom;Copper Fill756
18;;THT;15.0162;-14.047;0;Bottom;J18
19;;;51.2064;-78.1306;0;Bottom;Copper Fill413
20;;;79.1511;-23.572;0;Bottom;Via55
21;;;13.7414;-33.0964;0;Bottom;Copper Fill516
22;;;88.6333;-72.7204;0;Bottom;Copper Fill680
23;;;18.1737;-26.3654;0;Bottom;Copper Fill719
24;;;15.7988;-44.5899;0;Bottom;Copper Fill205
25;;;48.3108;-69.8756;0;Bottom;Copper Fill424
26;0.1µF;200 mil [THT, multilayer];31.5262;-9.60196;180;Bottom;C1
27;;;29.5529;-17.4754;0;Bottom;Copper Fill699
28;2.49k;0805 [SMD];44.2262;-17.4669;90;Top;R3
29;;;93.4974;-25.5399;0;Bottom;Copper Fill236
30;;;95.0214;-73.1014;0;Bottom;Copper Fill422
31;;;21.3614;-15.9514;0;Bottom;Copper Fill585
32;;;6.1214;-17.8564;0;Bottom;Copper Fill578
33;;;66.929;-7.0995;0;Bottom;Copper Fill368
34;;;64.0588;-73.7999;0;Bottom;Copper Fill166
35;;THT;93.5022;-91.0489;0;Bottom;J3
36;;;40.6146;-26.1876;0;Bottom;Copper Fill544
37;;;84.582;-25.2224;0;Bottom;Copper Fill101
38;;;56.5912;-78.2068;0;Bottom;Copper Fill20
39;220;0805 [SMD];62.6412;-89.2219;90;Top;R61
40;100k;THT;86.1362;-36.907;180;Bottom;R38
41;;;72.7329;-38.6844;0;Bottom;Copper Fill183
42;;;13.4366;-65.6846;0;Bottom;Copper Fill401
43;;;4.2037;-67.8944;0;Bottom;Copper Fill620
44;;;93.0529;-25.9844;0;Bottom;Copper Fill234
45;;;3.81;-7.6964;0;Bottom;Copper Fill609
46;;THT;84.2312;-10.237;-90;Bottom;JP5
47;;;78.2574;-15.3799;0;Bottom;Copper Fill677
48;;;72.8011;-44.527;0;Bottom;Via28
49;;;34.417;-86.4364;0;Bottom;Copper Fill390
50;1k;THT;22.6362;-92.787;180;Bottom;R16
51;;;48.6029;-36.5254;0;Bottom;Copper Fill692
52;;;72.7329;-44.1454;0;Bottom;Copper Fill651
53;;;89.0524;-68.7199;0;Bottom;Copper Fill225
54;;;90.0684;-10.9095;0;Bottom;Copper Fill169
55;;;88.6333;-72.7204;0;Bottom;Copper Fill227
56;;;12.5476;-42.6595;0;Bottom;Copper Fill366
57;;;88.6333;-68.2754;0;Bottom;Copper Fill679
58;;;28.6766;-83.8964;0;Bottom;Copper Fill10
59;;;88.1888;-65.5195;0;Bottom;Copper Fill371
