*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3.1
*Date=23:44:51
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;49.4801;-97.2903;0;Bottom;TXT1
2;;;18.7833;-56.2788;0;Bottom;Copper Fill87
3;;;96.3197;-44.2327;0;Bottom;Hole6
4;;;88.8238;-70.4266;0;Bottom;Copper Fill8
5;;THT;96.3196;-23.9127;0;Bottom;JP5
6;;;32.4104;-131.907;0;Bottom;Copper Fill292
7;10k;THT;86.1596;-22.6427;90;Bottom;R39
8;;;72.644;-32.8473;0;Bottom;Copper Fill121
9;;;95.0722;-75.9892;0;Bottom;Copper Fill18
10;;300 mil [THT];42.9796;-129.348;90;Bottom;D11
11;;;95.0722;-65.8292;0;Bottom;Copper Fill22
12;0.1µF;200 mil [THT, multilayer];30.2796;-105.193;-90;Bottom;C15
13;;;59.4233;-59.022;0;Bottom;Copper Fill360
14;;;30.6578;-123.017;0;Bottom;Copper Fill82
15;;;46.7741;-7.3838;0;Bottom;Copper Fill350
16;;;31.4833;-123.843;0;Bottom;Copper Fill80
17;;;15.0241;-41.242;0;Bottom;Copper Fill159
18;;;26.1493;-93.3882;0;Bottom;Copper Fill225
19;;;53.0733;-89.1972;0;Bottom;Copper Fill260
20;;;77.2033;-59.0728;0;Bottom;Copper Fill157
21;;;79.9592;-64.6862;0;Bottom;Copper Fill209
22;;;95.0722;-53.1292;0;Bottom;Copper Fill218
23;;;92.964;-34.1046;0;Bottom;Copper Fill222
24;470;THT;62.0296;-22.6427;-90;Bottom;R6
25;;;31.4833;-123.843;0;Bottom;Copper Fill265
26;;;95.0722;-55.6692;0;Bottom;Copper Fill26
27;;;2.15138;-55.5168;0;Bottom;TXT4
28;;;66.1416;-18.9281;0;Bottom;Copper Fill148
29;;;30.1117;-99.535;0;Bottom;Copper Fill37
30;;;73.3933;-33.622;0;Bottom;Copper Fill323
31;;;59.0804;-105.186;0;Bottom;Copper Fill333
32;;;20.0533;-34.638;0;Bottom;Copper Fill371
33;;;54.0004;-131.907;0;Bottom;Copper Fill279
34;;;18.7833;-43.5788;0;Bottom;Copper Fill300
35;;;81.0133;-48.862;0;Bottom;Copper Fill327
36;;;25.1333;-101.948;0;Bottom;Copper Fill262
37;;;96.2533;-48.5318;0;Bottom;Copper Fill227
38;;;32.3088;-123.017;0;Bottom;Copper Fill267
39;5V;TO220 [THT];95.3036;-102.653;90;Bottom;U1
40;;;90.3478;-89.9973;0;Bottom;Copper Fill100
41;;;19.304;-35.3873;0;Bottom;Copper Fill372
42;;;95.0722;-81.0692;0;Bottom;Copper Fill16
43;0.22µF;200 mil [THT, multilayer];73.4596;-35.3427;-90;Bottom;C10
44;;;58.1533;-27.018;0;Bottom;Copper Fill349
45;;;46.7614;-91.2546;0;Bottom;Copper Fill4
46;;;9.1694;-40.4673;0;Bottom;Copper Fill135
47;;;44.1833;-70.5028;0;Bottom;Copper Fill163
48;;v18za2p;26.4696;-98.8427;0;Bottom;U2
49;;TO220 [THT];35.3596;-79.5387;180;Bottom;Q7
50;;;90.3478;-78.5673;0;Bottom;Copper Fill102
51;;;82.3468;-45.1536;0;Bottom;Copper Fill220
52;;THT;93.7796;-37.8827;90;Bottom;JP2
53;;;89.408;-102.697;0;Bottom;Copper Fill353
54;;;18.0594;-50.6273;0;Bottom;Copper Fill95
55;;;41.6375;-0.864567;0;Bottom;TXT4
56;;;67.0433;-19.8552;0;Bottom;Copper Fill329
57;;;49.2506;-107.663;0;Bottom;Copper Fill2
58;;;58.928;-32.8473;0;Bottom;Copper Fill317
59;;;43.3578;-67.1373;0;Bottom;Copper Fill127
60;;;53.8988;-77.2973;0;Bottom;Copper Fill106
61;;;94.6404;-102.697;0;Bottom;Copper Fill326
62;;;53.0733;-123.843;0;Bottom;Copper Fill280
63;;;56.9468;-91.2546;0;Bottom;Copper Fill193
64;;5 mm [THT];16.3098;-132.554;0;Bottom;LED4
65;;;49.9872;-69.0804;0;Bottom;Copper Fill224
66;;300 mil [THT];54.4096;-36.5873;-90;Bottom;D3
67;;300 mil [THT];21.3896;-129.348;90;Bottom;D12
68;;;18.4912;-111.625;0;Bottom;Copper Fill185
69;100k;THT;31.5496;-117.893;-90;Bottom;R20
70;;;2.15138;-115.447;0;Bottom;TXT4
71;;;58.9788;-89.9973;0;Bottom;Copper Fill109
72;;;53.0733;-122.217;0;Bottom;Copper Fill68
73;;;54.3433;-59.1236;0;Bottom;Copper Fill144
74;;;75.4888;-123.017;0;Bottom;Copper Fill289
75;1k;THT;55.6796;-84.8727;90;Bottom;R57
76;;;46.228;-27.7673;0;Bottom;Copper Fill54
77;10µF;200 mil [THT, tantalum];25.1996;-105.193;-90;Bottom;C16
