*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3.1
*Date=21:45:52
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;10.2136;-117.886;180;Bottom;J2
2;;;75.5142;-123.017;0;Bottom;Copper Fill102
3;;;53.0733;-122.192;0;Bottom;Copper Fill93
4;;;14.224;-40.4673;0;Bottom;Copper Fill180
5;;DIP (Dual Inline) [THT];74.7296;-67.0927;180;Bottom;IC2
6;;;18.7833;-56.2534;0;Bottom;Copper Fill112
7;;;62.3062;-32.8473;0;Bottom;Copper Fill395
8;;;57.1843;-0.970304;0;Bottom;TXT4
9;1k;THT;86.1596;-82.3327;180;Bottom;R23
10;;;18.7833;-57.7266;0;Bottom;Copper Fill348
11;100k;THT;86.1596;-63.2827;180;Bottom;R38
12;;;95.0468;-88.6892;0;Bottom;Copper Fill223
13;;;18.034;-63.3273;0;Bottom;Copper Fill116
14;;3 mm [THT];20.6986;-50.5829;-90;Bottom;LED7
15;;300 mil [THT];68.3796;-36.5873;-90;Bottom;D5
16;;;94.6658;-102.697;0;Bottom;Copper Fill379
17;1µF;200 mil [THT, multilayer];74.7296;-89.9527;180;Bottom;C11
18;;;58.9788;-68.4073;0;Bottom;Copper Fill53
19;100k;THT;74.7296;-117.893;-90;Bottom;R14
20;;;43.3324;-64.5973;0;Bottom;Copper Fill404
21;;;95.0468;-73.4492;0;Bottom;Copper Fill231
22;;;69.6495;-55.6627;0;Bottom;Via3
23;;;49.3268;-91.2546;0;Bottom;Copper Fill6
24;;;76.0277;-36.6127;0;Bottom;Via4
25;;;54.3433;-59.149;0;Bottom;Copper Fill166
26;;;58.1533;-104.259;0;Bottom;Copper Fill173
27;;;57.2262;-105.186;0;Bottom;Copper Fill174
28;;;89.154;-59.5173;0;Bottom;Copper Fill46
29;10k;THT;83.6196;-22.6427;90;Bottom;R40
30;;;95.0468;-93.9978;0;Bottom;Copper Fill213
31;;;28.4734;-41.7373;0;Bottom;Copper Fill131
32;1µF;200 mil [THT, multilayer];74.7296;-74.7127;180;Bottom;C12
33;;;31.8262;-87.4573;0;Bottom;Copper Fill291
34;;;95.0468;-68.3692;0;Bottom;Copper Fill233
35;;;78.0542;-58.2473;0;Bottom;Copper Fill177
36;;;49.0474;-127.119;0;Bottom;Copper Fill207
37;;;9.39521;-30.3567;0;Bottom;Hole1
38;;;95.0468;-75.9892;0;Bottom;Copper Fill230
39;;;2.15138;-60.4086;0;Bottom;TXT4
40;;;31.4833;-132.86;0;Bottom;Copper Fill103
41;;;88.6841;-68.9026;0;Bottom;Copper Fill40
42;;;97.2058;-131.907;0;Bottom;Copper Fill330
43;;;44.1833;-33.6474;0;Bottom;Copper Fill292
44;;;76.4286;-74.7573;0;Bottom;Copper Fill351
45;;THT;93.7796;-37.8827;90;Bottom;JP2
46;;TO220 [THT];22.6596;-79.5387;180;Bottom;Q8
47;;;73.8124;-123.017;0;Bottom;Copper Fill342
48;;;76.3524;-58.2473;0;Bottom;Copper Fill387
49;2.49k;THT;42.9796;-18.8327;90;Bottom;R1
50;;;71.374;-100.157;0;Bottom;Copper Fill39
51;;;50.6418;-68.3627;0;Bottom;Arduino Mega 2560
52;;;94.6658;-102.697;0;Bottom;Copper Fill147
53;;;43.3324;-69.6773;0;Bottom;Copper Fill183
54;;;76.4286;-89.9973;0;Bottom;Copper Fill347
55;;;31.0134;-32.8473;0;Bottom;Copper Fill369
56;;;11.1633;-96.487;0;Bottom;Copper Fill70
57;;;88.6841;-59.0474;0;Bottom;Copper Fill44
58;10k;THT;83.6196;-55.6627;-90;Bottom;R59
59;;;70.9041;-100.653;0;Bottom;Copper Fill255
60;680;THT;27.7396;-60.7427;-90;Bottom;R28
61;;;90.3224;-89.9973;0;Bottom;Copper Fill356
62;;;95.0468;-55.6692;0;Bottom;Copper Fill27
63;;300 mil [THT];17.5796;-103.948;90;Bottom;D15
64;;;20.0533;-88.4098;0;Bottom;Copper Fill286
65;;DIP (Dual Inline) [THT];82.3496;-35.3427;-90;Bottom;IC3
66;;;49.9872;-69.0804;0;Bottom;Copper Fill34
67;;;88.1888;-68.4073;0;Bottom;Copper Fill42
68;;;97.1042;-123.017;0;Bottom;Copper Fill327
69;;300 mil [THT];86.1596;-129.348;90;Bottom;D9
70;;;9.9441;-39.6926;0;Bottom;Copper Fill158
71;680;THT;39.1696;-50.5827;0;Bottom;R34
72;;;87.8586;-102.697;0;Bottom;Copper Fill398
73;;;18.034;-56.9773;0;Bottom;Copper Fill113
74;;THT;10.2136;-52.8757;180;Bottom;J4
75;;;96.884;-0.864614;0;Bottom;TXT4
76;;;75.6158;-131.907;0;Bottom;Copper Fill98
77;;;73.1493;-103.983;0;Bottom;TXT3
78;;;43.3324;-62.0573;0;Bottom;Copper Fill196
79;;300 mil [THT];67.1096;-22.6681;90;Bottom;D13
80;;;36.2458;-32.8473;0;Bottom;Copper Fill313
81;;;45.0342;-67.1373;0;Bottom;Copper Fill152
82;;;20.0533;-36.1874;0;Bottom;Copper Fill191
83;;THT;53.1678;-101.383;180;Bottom;JP1
84;;;29.4386;-32.8473;0;Bottom;Copper Fill140
85;;5 mm [THT];16.3098;-132.554;0;Bottom;LED4
86;;TO220 [THT];72.1896;-133.387;0;Bottom;Q3
87;;;71.3486;-26.4973;0;Bottom;Copper Fill199
88;;;22.225;-22.6873;0;Bottom;Copper Fill202
89;;;18.7833;-57.7266;0;Bottom;Copper Fill111
90;;;20.0533;-80.1802;0;Bottom;Copper Fill298
91;;;96.448;-35.9101;0;Bottom;TXT4
92;;;46.7868;-91.2546;0;Bottom;Copper Fill216
93;;300 mil [THT];42.9796;-129.348;90;Bottom;D11
94;;;63.2333;-33.7998;0;Bottom;Copper Fill163
95;;;91.9923;-0.864614;0;Bottom;TXT4
96;;;30.1117;-98.2396;0;Bottom;Copper Fill283
97;;THT;96.3196;-23.9127;0;Bottom;JP5
98;0.1µF;200 mil [THT, multilayer];62.0296;-58.2027;0;Bottom;C7
99;;;77.3167;-55.6157;0;Bottom;Via2
100;;;88.6841;-67.9374;0;Bottom;Copper Fill260
101;;;20.8534;-35.3873;0;Bottom;Copper Fill419
102;;;15.0241;-41.2674;0;Bottom;Copper Fill178
103;;;95.0468;-68.3692;0;Bottom;Copper Fill22
104;;;74.6633;-132.86;0;Bottom;Copper Fill337
105;;;60.2234;-58.2473;0;Bottom;Copper Fill408
106;;;56.7817;-7.3584;0;Bottom;Copper Fill374
107;;;96.2533;-132.86;0;Bottom;Copper Fill87
108;;;49.2633;-33.8506;0;Bottom;Copper Fill75
109;;;9.144;-40.4673;0;Bottom;Copper Fill159
110;;;54.3433;-59.149;0;Bottom;Copper Fill409
111;;;32.7533;-80.1802;0;Bottom;Copper Fill304
112;;;54.3433;-57.2694;0;Bottom;Copper Fill410
113;;;51.7975;-0.864567;0;Bottom;TXT4
114;;;95.4024;-123.017;0;Bottom;Copper Fill85
115;;;54.0258;-131.907;0;Bottom;Copper Fill91
116;100k;THT;48.0596;-77.2527;180;Bottom;R49
117;100k;THT;45.5196;-84.8727;90;Bottom;R48
118;;THT;21.3896;-18.8327;0;Bottom;MPX4250A
119;;;77.2033;-59.0982;0;Bottom;Copper Fill176
120;;;37.3634;-27.7673;0;Bottom;Copper Fill372
121;;;97.1042;-49.3573;0;Bottom;Copper Fill280
122;;;47.0662;-58.6664;0;Bottom;Copper Fill242
123;;;36.5561;-0.876324;0;Bottom;TXT4
124;0.1µF;200 mil [THT, multilayer];45.5196;-25.1827;90;Bottom;C3
125;;;25.1333;-101.923;0;Bottom;Copper Fill136
126;;;49.4801;-97.2903;0;Bottom;TXT1
127;;;71.374;-100.157;0;Bottom;Copper Fill258
128;;;63.2333;-31.9202;0;Bottom;Copper Fill164
129;;;44.1833;-33.6474;0;Bottom;Copper Fill64
130;;;31.922;-0.864567;0;Bottom;TXT4
131;;;53.0733;-132.86;0;Bottom;Copper Fill90
132;;;50.2158;-32.8981;0;Bottom;Copper Fill308
133;;;38.4556;-100.678;0;Bottom;Copper Fill2
134;;;95.0468;-63.2892;0;Bottom;Copper Fill236
135;;TO220 [THT];22.6596;-85.8887;180;Bottom;Q5
136;10k;THT;34.0896;-20.1027;-90;Bottom;R54
137;;;30.2133;-33.6474;0;Bottom;Copper Fill368
138;;THT;93.7796;-32.8027;-90;Bottom;JP3
139;;;36.7665;-9.6698;0;Bottom;Copper Fill200
140;;;2.38265;-102.559;0;Bottom;TXT4
141;;;46.7868;-91.2546;0;Bottom;Copper Fill5
142;;;62.1711;-0.952807;0;Bottom;TXT4
143;;;96.375;-30.5492;0;Bottom;TXT4
144;;300 mil [THT];54.4096;-54.3673;-90;Bottom;D8
145;470;THT;39.1696;-18.8327;-90;Bottom;R2
146;470;THT;69.6496;-53.1227;0;Bottom;R8
147;;THT;48.0596;-65.8227;0;Bottom;IC5
148;;;78.486;-27.7038;0;Bottom;Copper Fill251
149;;;58.1533;-106.139;0;Bottom;Copper Fill383
150;;;53.0733;-123.868;0;Bottom;Copper Fill92
151;;;88.6841;-67.9374;0;Bottom;Copper Fill41
152;;;2.15138;-115.447;0;Bottom;TXT4
153;0.1µF;200 mil [THT, multilayer];36.6296;-25.1827;90;Bottom;C1
154;;;59.4233;-59.0474;0;Bottom;Copper Fill406
155;;;10.1092;-111.6;0;Bottom;Copper Fill209
156;1k;THT;42.9796;-84.8727;90;Bottom;R51
157;;;53.9242;-77.2973;0;Bottom;Copper Fill130
158;1k;THT;26.4696;-117.893;-90;Bottom;R19
159;;;31.8262;-81.1073;0;Bottom;Copper Fill305
160;;;53.0733;-89.1718;0;Bottom;Copper Fill321
161;;;70.4088;-100.157;0;Bottom;Copper Fill38
162;;;82.2833;-101.923;0;Bottom;Copper Fill420
163;;;53.0733;-89.1718;0;Bottom;Copper Fill134
164;;;30.2133;-103.497;0;Bottom;Copper Fill294
165;;;31.4833;-130.98;0;Bottom;Copper Fill345
166;;;81.0133;-48.8874;0;Bottom;Copper Fill148
167;;;89.4334;-102.697;0;Bottom;Copper Fill156
168;;;96.2533;-132.86;0;Bottom;Copper Fill328
169;;;32.7533;-86.5302;0;Bottom;Copper Fill290
170;;;30.1117;-98.2396;0;Bottom;Copper Fill60
