*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4
*Date=22:13:44
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;14.732;-69.9899;0;Bottom;Copper Fill271
2;;;76.9366;-27.6608;0;Bottom;Copper Fill105
3;;;14.1732;-31.2295;0;Bottom;Copper Fill418
4;;;4.1402;-8.0012;0;Bottom;Copper Fill392
5;;300 mil [THT];82.3262;-88.3674;90;Bottom;D15
6;;;35.2933;-18.9232;0;Bottom;Copper Fill522
7;;;97.8916;-50.216;0;Bottom;Copper Fill45
8;;;87.0204;-13.3352;0;Bottom;Copper Fill116
9;;;79.8068;-74.4222;0;Bottom;Copper Fill20
10;;;78.4733;-87.9096;0;Bottom;Copper Fill227
11;;;21.5392;-46.4568;0;Bottom;Copper Fill337
12;;;78.4733;-87.9096;0;Bottom;Copper Fill444
13;;;89.5604;-57.8614;0;Bottom;Copper Fill315
14;;THT;15.6512;-66.117;0;Bottom;MPX4250A
15;;;6.7611;-31.192;0;Bottom;Via13
16;0.22µF;200 mil [THT, multilayer];32.7962;-23.572;-90;Bottom;C2
17;;;21.3868;-13.4368;0;Bottom;Copper Fill388
18;;;49.9872;-2.2608;0;Bottom;Copper Fill123
19;;;83.6676;-40.7799;0;Bottom;Copper Fill430
20;;;88.6968;-61.519;0;Bottom;Copper Fill312
21;;;92.9572;-27.4656;-90;Bottom;TXT4
22;;;11.1859;-17.484;0;Bottom;blkr1
23;;;31.4833;-11.4048;0;Bottom;Copper Fill409
24;;;66.3829;-37.4906;0;Bottom;Copper Fill476
25;;;64.9732;-73.7999;0;Bottom;Copper Fill128
26;;;36.5633;-37.77;0;Bottom;Copper Fill517
27;;;69.088;-89.6495;0;Bottom;Copper Fill172
28;;;95.0214;-68.0214;0;Bottom;Copper Fill305
29;;;21.3868;-31.2168;0;Bottom;Copper Fill98
30;;;84.6582;-40.7799;0;Bottom;Copper Fill431
31;;;95.0214;-50.2414;0;Bottom;Copper Fill46
32;;;66.3829;-42.5706;0;Bottom;Copper Fill474
33;;;26.67;-15.2148;0;Bottom;Copper Fill117
34;;;6.2992;-6.4899;0;Bottom;Copper Fill221
35;;;39.1033;-42.85;0;Bottom;Copper Fill508
36;;300 mil [THT];63.9112;-88.3166;-90;Bottom;D16
37;;3 mm [THT];63.9672;-53.4168;90;Bottom;LED6
38;;;31.8008;-55.3595;0;Bottom;Copper Fill220
39;;300 mil [THT];27.0812;-23.5466;-90;Bottom;D17
40;;TO220 [THT];53.7512;-85.421;0;Bottom;Q3
41;;;65.7733;-54.2292;0;Bottom;Copper Fill195
42;;;33.8328;-54.1022;0;Bottom;Copper Fill322
43;;;93.5736;-93.4595;0;Bottom;Copper Fill495
44;;;67.5132;-89.6495;0;Bottom;Copper Fill171
45;;TO220 [THT];6.14962;-88.1114;180;Bottom;Q2
46;;;88.6333;-64.44;0;Bottom;Copper Fill244
47;;;54.3433;-43.1548;0;Bottom;Copper Fill421
48;;;91.2876;-93.4595;0;Bottom;Copper Fill494
49;;;21.3868;-48.9968;0;Bottom;Copper Fill48
50;;;55.6768;-35.2554;0;Bottom;Copper Fill360
51;;;20.193;-72.5299;0;Bottom;Copper Fill251
52;;;21.3868;-38.8368;0;Bottom;Copper Fill354
53;;;94.8182;-7.7599;0;Bottom;Copper Fill135
54;;;2.6416;-89.7003;0;Bottom;Copper Fill453
55;;;31.5261;-10.8721;0;Bottom;Via14
56;;;32.7533;-20.2948;0;Bottom;Copper Fill503
57;;;16.7132;-9.6395;0;Bottom;Copper Fill398
58;;;19.1516;-76.9368;0;Bottom;Copper Fill11
59;;;70.1929;-95.047;0;Bottom;Copper Fill124
60;;;49.9872;-57.6836;0;Bottom;Copper Fill324
61;;;42.2529;-8.8648;0;Bottom;Copper Fill259
62;;;48.6029;-58.3948;0;Bottom;Copper Fill464
63;;;58.5216;-68.3262;0;Bottom;Copper Fill27
64;;;31.4833;-10.4396;0;Bottom;Copper Fill410
65;;;53.7972;-15.6974;0;Bottom;Copper Fill111
66;;;42.9514;-37.9224;0;Bottom;Copper Fill84
67;;;3.5052;-15.2148;0;Bottom;Copper Fill385
68;;;70.8649;-73.8283;0;Bottom;TXT1
69;;;60.0329;-76.124;0;Bottom;Copper Fill484
70;;THT;77.2462;-10.237;-90;Bottom;JP4
71;;;18.3388;-87.7699;0;Bottom;Copper Fill189
72;;;10.5537;-42.8246;0;Bottom;Copper Fill530
73;;TO220 [THT];35.3362;-72.848;180;Bottom;Q6
74;10µF;200 mil [THT, tantalum];78.5162;-89.612;-90;Bottom;C16
75;;THT;21.4932;-33.732;0;Bottom;J4
76;100k;THT;43.5912;-59.767;-90;Bottom;R49
77;;;42.9133;-41.8848;0;Bottom;Copper Fill151
78;;;49.9872;-69.7232;0;Bottom;Copper Fill42
79;;;31.8008;-55.3595;0;Bottom;Copper Fill490
80;;;68.6054;-19.8503;0;Bottom;Copper Fill529
81;470;THT;70.2612;-22.302;-90;Bottom;R22
82;;3 mm [THT];63.9672;-58.4968;90;Bottom;LED5
83;;;4.1402;-6.7566;0;Bottom;Copper Fill122
84;;;44.2976;-85.3442;0;Bottom;Copper Fill278
85;0.01µF;200 mil [THT, multilayer];10.5712;-44.527;-90;Bottom;C19
86;470;THT;39.1462;-22.302;-90;Bottom;R2
87;;;6.223;-31.2295;0;Bottom;Copper Fill145
88;;;43.053;-9.6395;0;Bottom;Copper Fill535
89;;;59.1566;-78.1814;0;Bottom;Copper Fill17
90;;;21.3868;-15.9768;0;Bottom;Copper Fill384
91;;;86.0933;-95.301;0;Bottom;Copper Fill245
92;;;21.3868;-54.0768;0;Bottom;Copper Fill321
93;;;95.0214;-73.1014;0;Bottom;Copper Fill23
94;;;49.403;-59.1695;0;Bottom;Copper Fill465
95;;;31.9532;-37.5795;0;Bottom;Copper Fill165
96;;;18.3388;-95.9995;0;Bottom;Copper Fill456
97;;;95.0214;-78.1814;0;Bottom;Copper Fill288
98;;;25.0444;-51.9432;0;Bottom;Copper Fill40
99;;;27.0129;-10.4396;0;Bottom;Copper Fill408
100;100k;THT;60.1012;-71.832;90;Bottom;R55
101;;;21.3868;-36.2968;0;Bottom;Copper Fill89
102;;;88.6333;-64.44;0;Bottom;Copper Fill516
103;;;86.0933;-93.9548;0;Bottom;Copper Fill500
104;;;95.0214;-55.3214;0;Bottom;Copper Fill319
105;;;56.6166;-78.1814;0;Bottom;Copper Fill16
106;;;48.6029;-58.3948;0;Bottom;Copper Fill192
107;;;48.9966;-68.3262;0;Bottom;Copper Fill26
108;;;34.0233;-10.4396;0;Bottom;Copper Fill540
109;;;86.741;-94.6279;0;Bottom;Copper Fill248
110;;TO220 [THT];35.3362;-66.498;180;Bottom;Q7
111;1k;THT;86.1362;-39.447;180;Bottom;R29
112;680;THT;58.8312;-40.082;90;Bottom;R34
113;;;92.4433;-94.6152;0;Bottom;Copper Fill493
114;;;67.6529;-13.9448;0;Bottom;Copper Fill546
115;100k;THT;37.2412;-95.962;0;Bottom;R11
116;;;95.0214;-70.5614;0;Bottom;Copper Fill25
117;47µF;200 mil [THT, tantalum];68.3562;-87.072;90;Bottom;C14
118;;;40.3733;-32.1058;0;Bottom;Copper Fill496
119;;TO220 [THT];35.3362;-60.148;180;Bottom;Q5
